,Rpn10_Razul_KO/wt,,Rpn10_UIM_KO/wt,,Rpn13_KO/wt,,trRpn13/wt,,UCHL5_KO/wt,,USP14_KO/wt,
BRSK2,-0.53,0.64,-0.74,0.88,-0.30,0.28,0.29,0.32,-0.36,0.32,-0.71,0.80
UBE2J1,0.55,1.27,0.64,1.97,0.19,0.49,0.10,0.15,-0.39,0.76,0.02,0.02
ALKBH1,0.45,0.79,0.59,1.04,0.39,1.09,0.57,1.97,0.52,1.11,0.49,1.06
EFR3A,-0.06,0.08,0.06,0.10,0.43,1.18,0.09,0.11,-0.16,0.58,0.34,0.45
H6PD,-0.35,0.45,-1.09,1.39,-0.72,0.81,0.16,0.15,-0.41,0.48,-0.87,1.16
CRIPT,0.58,1.90,0.50,1.08,0.26,1.19,0.10,0.34,0.39,1.55,0.30,1.00
ZDHHC20,-0.02,0.05,0.39,1.63,-0.42,1.08,0.07,0.23,-0.26,0.83,0.13,0.31
POLR3G,0.20,0.17,0.06,0.06,0.49,0.91,-0.01,0.01,-0.07,0.09,0.16,0.18
NDUFS8,-0.06,0.15,0.01,0.03,-0.04,0.12,0.31,0.99,-0.19,0.62,-0.08,0.22
TMED3,-0.68,1.51,-0.74,2.07,-0.39,1.10,0.09,0.21,-0.31,0.88,-0.16,0.50
PHKB,0.30,0.38,0.55,0.85,0.70,0.80,0.31,0.47,-0.16,0.21,0.18,0.22
ATG13,-0.05,0.09,0.18,0.46,0.03,0.06,0.01,0.02,-0.20,0.44,-0.15,0.27
AKTIP,-0.08,0.08,0.07,0.06,0.44,0.51,0.11,0.13,-0.24,0.25,0.18,0.15
DUSP11,0.03,0.04,-0.24,0.33,0.48,1.24,0.25,0.56,0.37,0.90,0.18,0.31
NUDT15,-1.30,1.67,-1.15,1.77,-0.81,1.34,-0.79,1.26,-1.42,1.68,-0.89,1.26
NRBP1,-0.10,0.34,0.06,0.32,0.18,0.87,-0.10,0.27,0.13,0.41,0.28,1.31
SMG6,0.32,0.38,0.03,0.06,0.13,0.40,0.11,0.17,0.24,0.34,0.33,0.64
KIAA1191,-0.12,0.44,0.13,0.32,-0.30,0.85,0.06,0.16,-0.31,1.23,0.09,0.29
MRPL27,0.06,0.25,0.04,0.19,0.33,1.91,0.18,0.74,0.35,0.93,0.14,0.36
CCDC127,0.01,0.01,0.02,0.02,-0.09,0.17,-0.11,0.16,0.05,0.07,-0.03,0.03
ZNF787,0.12,0.15,0.20,0.23,0.27,0.27,0.20,0.25,0.16,0.19,0.18,0.16
NDUFB3,0.00,0.00,0.04,0.12,0.11,0.37,0.23,0.97,0.02,0.04,0.00,0.01
LGALSL,-0.23,0.46,-0.12,0.22,-0.07,0.14,-0.05,0.09,-0.32,0.66,-0.15,0.30
ARRDC1,0.07,0.18,0.26,0.79,0.60,1.83,0.38,1.33,0.23,0.46,0.20,0.43
MPP5,0.22,0.32,-0.05,0.16,0.17,0.53,0.26,0.42,0.16,0.26,0.19,0.42
BCL2L1,0.30,1.69,0.36,2.74,-0.09,0.70,0.23,1.20,-0.22,1.18,0.00,0.01
TOR1A,0.01,0.02,-0.36,1.26,-0.22,0.59,-0.14,0.46,-0.09,0.18,-0.06,0.13
MYO10,0.29,0.22,-0.05,0.05,0.72,0.55,-0.42,0.40,0.13,0.06,0.26,0.23
NAGLU,-0.25,1.38,-0.72,2.31,-0.38,0.96,-0.03,0.05,-0.52,1.24,-0.47,0.85
CCNYL1,-0.41,1.42,-0.11,0.43,0.07,0.22,0.08,0.47,0.03,0.10,-0.06,0.27
COQ8A,-0.63,0.65,-0.64,0.77,0.01,0.01,0.02,0.02,0.12,0.12,-0.12,0.11
WDR47,0.01,0.02,0.04,0.34,0.02,0.17,0.10,0.66,0.04,0.40,-0.11,0.98
TRAF6,0.34,0.43,0.18,0.26,0.16,0.17,0.28,0.49,0.09,0.11,0.40,0.41
LYRM4,0.27,0.42,0.13,0.37,0.32,1.20,0.25,0.66,0.55,1.39,0.05,0.10
TMEM179B,0.16,0.34,0.17,0.41,0.28,0.61,0.09,0.11,-0.50,1.15,-0.13,0.26
TAF5L,-0.07,0.04,-0.02,0.01,0.05,0.04,0.13,0.10,0.16,0.13,0.27,0.29
IMPACT,-0.82,1.72,-0.42,1.18,-0.41,1.15,-0.28,0.76,-0.65,1.37,-0.63,1.48
RABGGTB,0.24,1.28,0.68,3.28,0.42,1.46,0.38,1.95,0.31,1.23,0.41,2.28
CDS2,-0.07,0.25,0.02,0.07,-0.20,0.70,-0.35,1.27,-0.47,1.76,-0.23,0.80
SNUPN,-0.10,0.36,0.17,0.31,0.15,0.46,-0.02,0.05,0.05,0.07,0.07,0.16
UVSSA,0.85,1.63,0.74,1.50,0.54,1.09,0.59,1.05,0.52,1.18,0.36,0.63
CCNC,-1.01,1.55,-0.05,0.07,0.05,0.15,-0.05,0.15,-0.03,0.09,-0.08,0.27
OSTC,0.22,0.42,-0.10,0.39,0.16,0.25,-0.13,0.31,-0.03,0.10,0.13,0.22
TTC39C,-0.40,0.66,-0.21,0.32,-0.02,0.02,-0.19,0.31,-0.63,0.87,-0.29,0.53
SERINC1,0.21,0.27,0.09,0.11,0.01,0.01,0.20,0.23,-0.49,0.68,0.00,0.00
CAAP1,0.47,0.77,0.50,0.99,0.50,0.69,0.44,0.50,0.20,0.61,0.45,1.61
SEC11C,0.04,0.12,0.03,0.06,-0.05,0.14,0.21,0.51,-0.11,0.22,0.01,0.01
TBPL1,0.36,0.58,0.30,0.34,0.74,1.51,0.18,0.27,0.17,0.17,-0.05,0.06
TPMT,-0.43,1.73,0.02,0.09,0.10,0.57,-0.18,0.94,-0.65,2.32,-0.28,1.35
RNF126,0.00,0.00,-0.64,1.03,-0.22,0.35,-0.16,0.23,-0.20,0.24,-0.17,0.26
CDX2,0.80,1.40,0.32,0.39,0.66,1.71,0.53,1.09,0.24,0.55,0.60,1.31
ATPAF1,-0.57,0.89,-0.10,0.11,-0.29,0.33,-0.45,0.96,0.04,0.06,-0.18,0.33
SIRPA,-0.20,0.61,0.09,0.12,-0.03,0.04,0.14,0.28,-0.31,0.63,-0.04,0.05
ZWINT,0.59,1.26,0.35,1.33,0.37,0.80,-0.23,1.27,-0.14,1.64,0.32,0.69
C9orf40,-0.36,0.84,-0.79,1.44,-0.08,0.15,0.20,0.54,-0.35,0.85,0.00,0.01
DENND11,0.19,0.50,0.18,0.55,-0.10,0.20,0.53,1.56,0.18,0.48,0.24,0.59
LPCAT2,-0.33,0.47,-0.58,0.79,-0.15,0.20,0.02,0.02,-0.46,0.65,-0.51,0.74
STAT2,0.27,0.26,0.29,0.84,0.40,0.50,-0.34,0.91,-0.44,1.03,-0.27,0.54
ALAD,0.22,0.95,0.31,0.98,-0.68,2.43,-0.05,0.10,0.04,0.05,-0.04,0.08
RPL37,-0.35,1.38,-0.35,1.65,-0.06,0.24,-0.18,0.74,-0.26,1.15,-0.28,1.26
RREB1,-0.41,0.44,-0.42,0.44,0.15,0.15,-0.11,0.10,-0.45,0.44,0.10,0.11
TMEM131,0.34,1.23,0.29,0.64,0.21,0.68,0.19,0.40,0.33,1.55,0.29,0.98
LAMTOR3,-0.19,0.30,-0.37,0.80,-0.18,0.21,-0.38,0.44,-0.24,0.41,-0.29,0.47
UBL7,0.81,1.30,1.15,1.59,0.46,1.07,0.48,0.84,0.48,0.73,0.61,0.92
TBC1D23,0.24,0.24,0.53,0.62,0.42,0.47,0.39,0.43,-0.18,0.16,0.62,0.58
NFYA,0.14,0.45,0.14,0.44,0.08,0.23,0.16,0.50,-0.12,0.30,0.11,0.34
IRS2,0.22,0.27,0.65,0.92,0.26,0.32,0.30,0.28,0.53,0.79,0.45,0.48
CLIC5,0.45,0.68,0.73,1.16,0.08,0.24,0.54,0.50,0.51,1.30,0.27,1.18
TMEM106B,-0.29,0.58,-0.03,0.04,-0.11,0.25,0.01,0.02,0.02,0.02,0.07,0.10
METTL5,0.14,1.12,-0.01,0.03,0.27,1.78,0.28,1.32,0.25,1.89,0.42,1.67
LYSMD2,0.26,0.89,0.35,0.71,0.17,0.57,0.33,1.13,-0.09,0.21,0.18,0.60
PODXL,0.08,0.26,-0.66,3.77,-0.25,2.19,-0.20,1.15,-0.36,1.86,-0.14,1.29
MED15,-0.06,0.04,-0.03,0.03,-0.16,0.14,-0.34,0.34,-0.77,0.65,-0.23,0.19
PDK1,-0.77,1.57,-0.76,1.50,-0.27,0.34,0.14,0.26,0.02,0.04,-1.06,1.82
CHRAC1,0.47,0.91,0.22,1.34,0.35,0.86,0.49,1.59,0.46,0.56,0.24,1.16
OSTF1,-0.17,0.34,-0.31,0.67,0.15,0.33,-0.07,0.15,0.02,0.03,0.13,0.33
ODC1,2.42,1.73,1.67,1.84,0.71,0.72,0.19,0.24,0.39,0.43,1.29,1.24
BRPF1,-0.38,0.71,-0.10,0.17,-0.34,0.58,-0.20,0.37,-0.37,0.73,0.05,0.07
TIMM9,-0.33,0.80,-0.55,1.19,0.14,0.33,0.07,0.11,0.00,0.01,-0.23,0.50
PRKAB2,-0.22,0.94,0.10,0.32,-0.24,0.83,-0.04,0.08,-0.34,0.58,-0.13,0.35
MT-ATP6,-0.75,0.65,-0.34,0.29,-0.72,0.69,-0.46,0.43,-0.32,0.31,-0.38,0.32
THAP11,0.09,0.11,-0.13,0.33,0.01,0.01,-0.03,0.03,-0.19,0.27,-0.18,0.34
SPRYD7,-0.28,0.18,0.14,0.15,-0.10,0.08,-0.08,0.07,-0.39,0.39,0.01,0.01
SUMO3,0.18,0.36,0.29,0.63,0.65,1.66,0.09,0.16,0.19,0.37,0.34,0.71
EXOG,0.27,1.41,0.08,0.21,0.03,0.12,0.18,0.58,-0.49,1.52,-0.05,0.15
PIAS1,0.36,0.30,0.51,0.51,0.46,0.46,0.15,0.13,-0.37,0.29,0.32,0.26
BOLA3,-0.07,0.29,0.01,0.03,0.20,0.73,-0.02,0.05,0.32,0.97,-0.02,0.06
NCOA3,-0.14,0.19,0.34,1.01,0.31,0.62,0.22,0.58,-0.18,0.20,0.37,1.05
WDR37,0.00,0.01,0.28,1.27,0.20,0.51,-0.38,1.72,0.09,0.25,0.17,0.35
DUSP9,-0.10,0.17,-0.48,1.03,0.65,1.16,0.12,0.22,-0.74,1.61,0.12,0.25
MED18,-0.03,0.06,-0.10,0.22,0.14,0.44,0.05,0.14,-0.30,0.88,0.18,0.55
ARL14EP,0.03,0.12,0.19,0.43,0.33,0.75,0.11,0.19,0.15,0.56,0.23,0.99
TAF12,0.08,0.21,0.18,0.51,0.18,0.72,0.17,0.76,0.10,0.43,0.24,0.89
PWWP3A,0.25,0.75,0.46,1.28,0.67,2.06,0.48,1.28,0.14,0.45,0.22,0.88
GPATCH2,0.17,0.08,0.02,0.01,-0.61,0.32,0.08,0.03,-0.54,0.23,-0.68,0.35
PPIC,-0.08,0.14,0.13,0.24,0.30,0.41,-0.22,0.44,-0.11,0.13,-0.04,0.06
ASAH1,-0.22,0.47,-0.09,0.12,0.09,0.18,0.32,0.72,-0.08,0.11,0.00,0.00
RTN3,-0.62,0.72,-0.34,0.42,-0.58,0.67,-0.69,0.76,-0.66,0.73,-0.54,0.68
MIEN1,-0.48,0.41,-0.41,0.36,-0.59,0.55,-0.23,0.18,-0.64,0.56,-0.35,0.26
SYTL4,0.21,0.32,0.47,0.82,0.48,0.53,0.17,0.18,0.02,0.02,0.26,0.25
MAFF,0.24,0.68,-0.01,0.02,-0.44,1.08,-0.11,0.27,-0.37,0.92,-0.19,0.44
SNX30,0.11,0.18,0.06,0.08,0.24,0.60,0.14,0.24,0.13,0.30,0.01,0.01
CMC2,0.13,0.12,0.01,0.01,0.11,0.11,0.08,0.08,0.28,0.35,0.20,0.21
NSUN4,-0.48,1.59,-0.21,0.78,0.06,0.17,-0.11,0.34,-0.20,0.59,-0.34,0.95
NUFIP1,0.80,2.19,0.48,1.29,0.61,1.21,0.44,0.68,0.21,0.43,0.49,1.32
MT-ND4,-0.31,0.25,-0.36,0.27,-0.35,0.27,-0.03,0.02,-0.07,0.04,-0.18,0.14
FKBP7,0.20,1.76,0.52,1.69,0.21,1.16,0.10,0.32,0.67,2.20,0.31,1.90
RLF,0.12,0.19,0.05,0.07,0.13,0.32,0.25,0.33,-0.13,0.13,0.03,0.04
TBP,0.42,0.76,0.68,1.57,0.44,0.66,0.14,0.21,0.52,1.29,0.46,1.05
MOCS2,-0.09,0.21,0.53,1.83,0.16,0.21,-0.23,0.29,0.34,0.88,0.29,0.74
RINT1,-0.10,0.12,-0.17,0.25,0.27,0.22,-0.09,0.13,0.11,0.08,0.21,0.19
LSM3,-0.44,2.23,-0.34,1.81,-0.14,0.69,-0.18,0.76,-0.29,1.33,-0.05,0.20
MTMR1,-0.28,0.64,-0.11,0.25,0.59,1.03,0.32,0.74,-0.20,0.24,0.01,0.02
NTSR1,-1.01,2.23,0.23,0.60,-0.20,0.54,0.06,0.18,-0.21,0.54,-0.15,0.43
KLHL7,0.36,0.81,0.72,0.77,0.20,0.76,0.36,1.25,-0.13,0.19,0.10,0.62
VAMP8,0.13,0.28,-0.38,1.14,0.42,1.09,0.07,0.18,-0.17,0.51,0.24,0.70
PUDP,-1.16,0.58,-1.45,0.69,-0.63,0.37,-1.15,0.62,-1.47,0.74,-1.53,0.75
BLOC1S1,0.49,0.77,0.42,0.62,0.66,1.08,0.66,1.12,0.40,0.51,0.57,0.70
TEAD4,-0.26,0.75,-0.04,0.08,-0.08,0.14,-0.26,0.55,-0.38,0.94,-0.11,0.28
LDLRAP1,0.28,0.25,-0.89,1.70,-0.59,0.90,0.40,0.84,-0.71,0.92,0.15,0.25
TMEM41B,0.02,0.05,0.05,0.20,0.05,0.28,-0.24,1.35,-0.81,2.59,-0.57,2.24
LPCAT3,0.00,0.01,-0.72,1.98,0.04,0.12,-0.53,1.13,-0.14,0.46,-0.89,2.45
EMC10,0.43,1.41,0.25,0.93,0.29,1.23,-0.10,0.32,-0.26,0.98,0.15,0.40
ATP6AP2,0.18,0.85,0.04,0.13,0.57,2.41,0.01,0.03,-0.47,1.56,0.26,1.05
PLEKHM2,0.22,0.16,0.05,0.04,0.36,0.37,0.18,0.14,0.18,0.16,0.13,0.11
TSC22D4,0.20,1.16,0.32,0.50,0.01,0.01,0.26,1.03,-0.05,0.13,0.39,0.67
TRMT61B,0.07,0.09,-0.18,0.20,-0.27,0.36,0.40,0.46,0.14,0.16,0.11,0.11
COMMD4,-0.04,0.04,0.35,1.34,0.62,2.39,0.23,0.34,-0.22,0.63,0.17,0.54
PMF1,-0.01,0.00,0.04,0.03,0.07,0.07,-0.08,0.09,-0.56,0.56,-0.52,0.61
RPUSD3,-0.27,0.34,-0.08,0.11,0.06,0.08,0.01,0.02,0.09,0.12,-0.18,0.22
DCTN6,-0.20,0.61,-0.05,0.10,-0.11,0.32,-0.50,1.17,-0.75,1.53,-0.18,0.39
PHF10,1.07,0.87,0.90,1.22,0.57,0.70,0.38,0.46,0.74,0.67,0.66,0.85
BRIP1,0.17,0.35,0.10,0.32,0.45,1.51,-0.08,0.23,-0.19,0.27,-0.08,0.14
PCGF6,0.19,0.94,0.27,0.99,0.23,0.94,0.10,0.29,-0.20,0.58,0.04,0.05
ATG5,-0.09,0.44,-0.09,0.27,-0.44,2.00,-0.12,0.36,-0.20,1.04,-0.21,0.43
SLC25A32,-0.21,0.82,-0.03,0.08,0.18,0.87,0.10,0.47,0.08,0.14,-0.07,0.18
SMIM12,-0.85,1.65,-0.70,1.41,-0.41,0.91,-0.52,1.14,-0.59,1.23,-0.31,0.71
PUSL1,-0.03,0.10,-0.39,2.42,-0.07,0.24,0.20,1.36,0.21,0.66,-0.47,2.22
TMUB1,-0.12,0.23,-0.45,0.87,-0.13,0.21,-0.10,0.16,-0.47,0.54,-0.17,0.22
CARHSP1,0.12,0.95,0.20,0.62,0.12,0.49,-0.10,0.72,-0.23,0.95,-0.02,0.05
LIX1L,0.92,0.47,1.15,0.68,0.38,0.22,0.52,0.47,0.94,0.52,0.41,0.24
SELENOM,0.26,0.31,0.18,0.22,-0.12,0.14,0.29,0.62,-0.06,0.07,-0.10,0.12
PHC3,0.75,1.82,0.65,1.95,0.63,1.66,0.56,1.83,-0.02,0.04,0.58,0.44
FARS2,-0.29,0.51,-0.28,0.47,0.03,0.03,0.04,0.07,0.16,0.17,0.03,0.05
SLFN5,-1.32,0.54,-1.12,0.50,0.37,0.16,-0.14,0.05,-0.32,0.12,-0.55,0.23
PDRG1,-0.70,1.50,-0.48,1.14,-0.37,0.79,-0.19,0.40,-0.42,0.99,-0.50,1.25
POLR2L,0.06,0.15,0.06,0.16,0.30,1.18,0.06,0.13,0.10,0.30,0.16,0.59
MRPL35,-0.04,0.02,-0.30,0.20,0.21,0.18,0.01,0.01,0.08,0.05,-0.26,0.18
RER1,-0.09,0.21,-0.17,0.53,-0.27,0.93,-0.10,0.31,0.05,0.08,0.03,0.05
MRM1,-0.40,0.81,-1.06,1.83,-0.38,0.79,-0.64,1.19,-0.53,1.07,-0.65,1.26
MEA1,1.22,5.41,1.53,5.61,0.78,3.35,0.81,2.24,0.48,1.17,0.81,3.20
MCUR1,-0.08,0.33,0.10,0.70,-0.10,0.65,0.05,0.33,0.02,0.10,-0.04,0.24
ANKRD39,0.75,2.22,0.54,2.77,0.22,2.05,0.30,0.65,-0.61,2.33,-0.34,0.57
SLC12A9,0.38,0.42,0.27,0.23,-0.03,0.02,-0.20,0.19,0.22,0.17,-0.09,0.05
PLAUR,0.15,0.14,-0.29,0.22,-0.04,0.04,-0.70,0.83,0.31,0.39,0.18,0.19
TRIT1,-0.14,0.15,0.03,0.03,0.26,0.55,0.40,0.75,0.10,0.15,0.24,0.50
ZNF507,0.71,2.33,0.19,0.25,0.07,0.09,0.13,0.16,0.18,0.43,0.18,0.35
MANBAL,0.38,0.93,0.35,1.99,0.37,1.22,0.01,0.07,0.04,0.16,0.21,0.60
NDUFA3,-0.58,1.50,-0.44,0.74,-0.38,0.84,-0.17,0.29,-0.84,1.36,-0.49,1.14
MTHFS,-0.06,0.18,-0.26,1.21,0.25,1.44,-0.06,0.20,-0.05,0.18,0.24,1.29
TMEM263,0.36,0.46,0.30,0.46,0.04,0.06,0.00,0.00,0.24,0.26,0.04,0.04
SUPT4H1,-0.30,0.25,-0.25,0.22,-0.63,0.54,-0.59,0.52,-0.26,0.24,-0.26,0.23
OBI1,0.41,1.23,0.38,0.99,0.54,1.58,0.33,0.98,0.17,0.51,0.46,1.28
NSMCE2,0.10,0.18,-0.02,0.04,0.05,0.11,-0.05,0.09,0.38,1.46,0.11,0.29
TCP11L1,0.51,0.50,0.17,0.12,0.19,0.12,0.32,0.26,0.02,0.01,0.14,0.09
C1orf122,0.07,0.14,0.05,0.05,0.38,0.89,0.08,0.23,0.09,0.14,-0.02,0.03
ARMC9,0.29,0.86,0.02,0.07,0.08,0.41,-0.19,0.77,-0.14,1.15,0.14,1.09
MRPL57,-0.38,1.74,-0.27,1.21,-0.04,0.13,-0.20,0.99,-0.17,0.68,-0.25,1.25
CDC26,0.09,0.20,0.06,0.09,0.26,0.58,0.29,0.91,0.22,0.50,0.16,0.28
PHKG2,0.52,2.36,0.19,0.50,0.40,1.58,0.03,0.08,0.35,0.54,0.18,0.58
GALT,0.38,0.29,-0.03,0.02,-0.31,0.33,-0.37,0.41,0.17,0.10,-0.68,0.69
ORC6,0.75,1.97,0.54,2.13,0.60,1.35,0.25,0.92,0.23,0.59,0.72,3.11
KCTD10,0.73,3.26,0.68,3.01,0.48,2.13,0.29,1.19,0.18,0.55,0.43,2.82
SNX15,0.32,0.35,0.55,0.69,0.30,0.24,0.25,0.24,-0.16,0.14,0.33,0.31
ZBTB7B,-0.54,1.27,-0.24,0.51,0.23,0.55,0.00,0.01,-0.56,1.57,0.02,0.04
LIN54,0.36,0.35,0.49,0.45,0.32,0.34,-0.08,0.06,-0.70,0.52,-0.18,0.13
GPRC5C,-0.36,0.48,-0.40,0.53,-0.34,0.58,-0.39,0.79,-1.03,2.02,-0.76,1.29
RAB27A,-0.22,0.35,-0.34,0.55,0.09,0.15,-0.51,0.91,0.01,0.02,0.17,0.27
ZMIZ2,0.45,1.98,0.54,2.82,0.44,2.45,0.49,2.05,0.16,0.67,0.37,2.03
MAGEA3,0.58,0.62,0.13,0.11,0.97,0.69,0.48,0.31,0.21,0.18,0.21,0.19
ROR2,0.09,0.15,-0.37,1.14,-0.17,0.55,-0.04,0.09,-0.67,1.98,-0.37,1.20
FAM107B,-3.09,2.65,-1.10,1.70,0.31,0.86,-0.93,1.46,-3.73,2.75,0.23,0.37
SKA2,0.38,1.13,0.43,1.04,0.52,1.56,0.35,0.66,-0.07,0.15,0.41,1.16
CUEDC2,-0.32,0.23,-0.37,0.29,0.21,0.21,0.28,0.20,-0.17,0.13,0.18,0.17
FBXO9,-0.14,0.46,0.08,0.33,0.19,0.49,0.17,0.67,-0.32,0.89,0.10,0.43
PTTG1IP,0.11,0.13,-0.17,0.21,-0.28,0.39,-0.29,0.39,-0.33,0.47,-0.24,0.30
FBXO44,0.70,0.80,0.52,0.55,0.21,0.22,0.85,1.93,0.49,0.69,0.98,1.26
RWDD4,-0.32,1.12,-0.46,1.56,-0.24,1.10,-0.07,0.22,-0.20,1.02,-0.23,1.29
ATG12,0.10,0.36,0.05,0.15,0.29,1.24,0.08,0.27,-0.20,0.60,0.02,0.04
MVK,-1.00,2.05,-0.69,1.54,0.33,0.93,-0.25,0.74,-0.16,0.28,0.16,0.24
COX7C,-0.05,0.22,-0.11,0.57,0.05,0.26,0.11,0.45,0.23,1.09,-0.01,0.04
ZMYND11,1.09,1.41,0.80,1.50,0.87,1.85,0.01,0.02,0.43,0.76,0.41,0.36
DHRS11,-0.55,0.47,-0.82,0.68,-0.76,0.66,-0.27,0.22,-0.24,0.19,-0.58,0.51
MAU2,-0.25,0.33,0.13,0.22,-0.10,0.29,-0.17,0.51,-0.35,1.19,-0.02,0.03
ESPL1,0.45,0.37,-0.81,1.31,0.56,0.58,-0.03,0.04,0.28,0.45,0.23,0.65
RIC8B,0.26,0.64,0.18,0.52,-0.24,1.11,0.18,0.54,0.22,0.69,0.13,0.23
BCL7C,-0.24,1.16,0.04,0.25,-0.11,0.42,-0.06,0.16,-0.03,0.11,-0.11,0.56
BIRC2,-0.31,1.05,-0.23,0.70,0.32,1.23,-0.30,1.03,-0.55,1.56,0.00,0.00
TYW1,-0.50,1.89,-0.66,2.62,-0.27,1.41,-0.40,1.89,-0.78,2.68,-0.22,0.74
SLC39A14,0.63,1.27,0.03,0.06,0.14,0.17,0.37,0.59,0.21,0.39,0.24,0.50
CRYL1,-1.12,2.14,-0.31,1.11,0.08,0.26,0.05,0.11,-0.43,1.57,-0.28,1.11
SLC35F6,0.39,0.76,-0.09,0.14,-0.22,0.34,0.19,0.28,-0.11,0.16,-0.11,0.16
LIAS,0.01,0.02,-0.38,1.06,0.64,1.47,0.04,0.05,0.10,0.39,0.06,0.17
APH1A,-0.47,0.78,-0.68,1.15,-0.56,0.92,-0.28,0.39,-0.49,0.81,-0.46,0.56
MRGBP,0.23,0.55,0.16,0.38,-0.15,0.36,-0.06,0.08,0.10,0.18,0.20,0.34
GTF2A2,-0.04,0.18,0.19,1.26,0.35,3.37,0.17,1.18,-0.33,1.99,-0.55,3.67
AGTRAP,-0.29,0.58,-0.48,1.06,-0.20,0.50,-0.19,0.47,-0.84,1.54,-0.78,1.53
ARNT,0.20,0.70,0.29,0.63,0.57,2.42,0.45,1.86,-0.24,0.63,-0.01,0.03
ICE2,0.44,0.25,-0.03,0.02,0.38,0.22,-0.02,0.01,0.04,0.02,0.26,0.14
UBXN8,0.82,2.97,0.64,1.90,0.68,2.76,0.53,1.76,0.19,0.76,0.66,2.59
RBBP9,-0.54,0.56,-0.14,0.15,-0.13,0.12,-0.46,0.52,-0.52,0.55,-0.92,0.93
WDR13,-0.19,0.29,0.05,0.08,0.05,0.04,0.17,0.22,0.03,0.03,-0.35,0.64
MT1F,-0.05,0.11,0.01,0.01,-0.25,0.42,-0.29,1.34,0.43,1.02,0.16,1.09
ZNF195,-0.14,0.24,0.31,0.47,0.06,0.12,0.17,0.47,-0.36,0.69,-0.07,0.09
DCD,0.41,1.21,0.44,0.79,-0.03,0.05,0.21,0.49,0.29,0.71,0.37,0.92
DENND5B,1.47,3.57,1.29,2.89,-0.44,2.87,0.52,2.47,-0.99,2.59,0.52,2.13
AGTRAP,0.33,0.59,0.11,0.24,0.34,0.98,0.24,0.54,0.07,0.11,0.01,0.02
SMYD2,-0.17,0.46,-0.11,0.31,0.35,1.33,0.22,0.63,0.02,0.04,0.47,1.43
FXN,0.09,0.86,-0.03,0.05,0.23,1.36,0.21,0.67,-0.02,0.05,-0.55,2.66
NGRN,0.32,0.15,-0.27,0.13,0.47,0.22,-0.05,0.02,-0.10,0.04,0.01,0.00
NAA40,0.70,1.13,0.26,0.33,0.09,0.13,0.33,0.44,0.20,0.31,0.75,1.43
UBE2A,0.52,3.05,0.71,3.74,0.49,2.62,0.37,1.75,0.23,2.91,0.49,2.48
CINP,-0.56,1.22,-0.41,1.97,-0.14,0.39,-0.23,1.27,-0.47,1.58,-0.13,0.60
RAD1,0.18,0.47,-0.13,0.34,0.35,0.85,0.02,0.03,-0.10,0.24,0.04,0.09
NDRG2,-0.03,0.02,-0.68,1.20,-0.58,1.00,-0.32,0.63,-0.33,0.74,-0.24,0.48
TBC1D8,-0.08,0.10,0.21,0.43,-0.10,0.17,-0.02,0.03,0.38,0.65,0.42,1.03
PTGES,0.85,2.74,-0.24,0.68,0.00,0.01,-0.13,0.38,-0.41,1.33,-0.45,1.61
RFT1,-0.39,1.20,-0.50,1.51,-0.84,2.07,-0.06,0.13,-0.07,0.17,-0.23,0.55
PRKRIP1,0.56,1.08,0.33,1.38,0.12,0.54,0.28,0.67,0.35,0.63,0.17,0.30
TMEM63B,-0.39,0.93,-0.40,1.18,-0.09,0.16,0.04,0.07,-0.41,0.73,-0.17,0.33
REEP6,-0.59,2.25,-0.36,1.97,-0.22,1.12,-0.22,1.39,-0.75,2.56,-0.36,1.66
C3orf38,0.11,0.26,0.35,1.13,0.25,0.69,0.17,0.47,-0.06,0.12,0.34,0.69
JADE1,0.25,0.19,0.10,0.17,-0.08,0.11,0.00,0.01,0.00,0.00,0.36,0.76
ZFAND5,-1.06,1.84,-0.76,1.33,-0.01,0.01,-0.18,0.38,0.52,0.66,1.15,2.74
SAV1,1.18,1.18,0.22,1.03,0.22,0.34,0.52,0.69,0.56,1.74,0.49,1.70
TMEM230,0.04,0.05,-0.06,0.09,-0.09,0.12,-0.05,0.06,0.12,0.17,-0.39,0.69
FAM177A1,0.61,1.53,0.02,0.04,0.26,0.85,-0.06,0.13,-0.42,1.08,0.00,0.00
PDE6D,0.05,0.06,0.43,1.05,-0.24,0.43,0.50,1.18,0.15,0.33,0.49,1.05
DYNLT1,0.21,1.58,0.30,1.59,0.47,2.18,0.32,2.21,-0.02,0.07,0.13,0.59
SLC30A7,-0.27,1.05,0.19,0.93,0.11,0.25,-0.16,0.73,-0.12,0.54,0.22,0.56
C1orf198,-0.04,0.04,0.25,0.36,0.75,1.25,0.24,0.44,-0.56,0.68,0.61,1.34
ERICH1,0.26,0.71,-0.10,0.21,0.45,1.01,0.04,0.11,-0.14,0.26,-0.21,0.48
DLG4,0.10,0.10,-0.06,0.05,-0.03,0.03,-0.11,0.10,-0.03,0.03,0.17,0.16
MZT2B,0.33,1.23,0.33,1.83,0.27,1.69,0.26,1.50,0.35,1.68,0.53,2.46
FUCA1,-0.17,0.22,-0.20,0.26,-0.08,0.13,-0.30,0.53,-0.27,0.48,-0.20,0.35
NDUFAF4,0.13,0.25,0.18,1.36,0.04,0.15,0.02,0.07,-0.30,2.18,-0.21,0.75
